finep,coarsep,k,θ,ρ
2,1,1,1.0,0.3304857405781379
2,1,1,7.067899292141149e-17,0.3304857405781379
2,1,2,7.067899292141149e-17,0.36281506981226724
2,1,2,-0.01999999999999996,0.36281506981226724
2,1,3,7.067899292141149e-17,0.19429801304958974
2,1,3,0.020000000000000028,0.19429801304958974
2,1,4,1.0,0.026329442436045736
2,1,4,-0.01999999999999996,0.026329442436045736
4,1,1,1.0,0.8275878041674141
4,1,1,1.0,0.8275878041674141
4,1,2,1.0,0.909617490749669
4,1,2,1.0,0.909617490749669
4,1,3,1.0,0.33590955477092266
4,1,3,1.0,0.33590955477092266
4,1,4,7.067899292141149e-17,0.020844237494633842
4,1,4,1.4600000000000002,0.020844237494633842
4,2,1,1.0,0.8275878041674114
4,2,1,1.0,0.8275878041674114
4,2,2,1.0,0.9096174907496689
4,2,2,1.0,0.9096174907496689
4,2,3,1.0,0.3359095547709226
4,2,3,1.0,0.3359095547709226
4,2,4,7.067899292141149e-17,0.02084423749463385
4,2,4,0.54,0.02084423749463385
8,1,1,1.0,2.4737175960041613
8,1,1,1.0,2.4737175960041613
8,1,2,1.0,1.6548311762902372
8,1,2,1.0,1.6548311762902372
8,1,3,1.0,0.5105969467434308
8,1,3,1.0,0.5105969467434308
8,1,4,-0.25999999999999995,0.030332699242317178
8,1,4,-0.25999999999999995,0.030332699242317178
8,2,1,1.0,2.4737175960041635
8,2,1,1.0,2.4737175960041635
8,2,2,1.0,1.6548311762902346
8,2,2,1.0,1.6548311762902346
8,2,3,1.0,0.5105969467434277
8,2,3,1.0,0.5105969467434277
8,2,4,7.067899292141149e-17,0.03033246278327487
8,2,4,1.0200000000000002,0.03033246278327487
8,4,1,1.0,2.4727146533896325
8,4,1,1.0,2.4727146533896325
8,4,2,1.0,1.6542774759988157
8,4,2,1.0,1.6542774759988157
8,4,3,1.0,0.5103901897801748
8,4,3,1.0,0.5103901897801748
8,4,4,7.067899292141149e-17,0.030332373274522487
8,4,4,1.0200000000000002,0.030332373274522487
16,1,1,1.0,4.3518622122025405
16,1,1,1.0,4.3518622122025405
16,1,2,1.0,2.38102142475649
16,1,2,1.0,2.38102142475649
16,1,3,1.0,0.6678523674046598
16,1,3,1.0,0.6678523674046598
16,1,4,0.9400000000000001,0.045164966812000495
16,1,4,0.40000000000000013,0.045164966812000495
16,2,1,1.0,4.351862212202535
16,2,1,1.0,4.351862212202535
16,2,2,1.0,2.381021424756504
16,2,2,1.0,2.381021424756504
16,2,3,1.0,0.6678523674046615
16,2,3,1.0,0.6678523674046615
16,2,4,7.067899292141149e-17,0.045164966656785877
16,2,4,1.0,0.045164966656785877
16,4,1,1.0,4.35186184406947
16,4,1,1.0,4.35186184406947
16,4,2,1.0,2.381021265871815
16,4,2,1.0,2.381021265871815
16,4,3,1.0,0.6678523273023762
16,4,3,1.0,0.6678523273023762
16,4,4,1.0,0.045164966656628586
16,4,4,7.067899292141149e-17,0.045164966656628586
16,8,1,1.0,4.351848872246242
16,8,1,1.0,4.351848872246242
16,8,2,1.0,2.3810150000022334
16,8,2,1.0,2.3810150000022334
16,8,3,1.0,0.6678504150941085
16,8,3,1.0,0.6678504150941085
16,8,4,1.0,0.04516489936305763
16,8,4,7.067899292141149e-17,0.04516489936305763
