finep,coarsep,k,c,θ,ρ
2,1,1,0.1,-0.0625,0.6609738877339768
2,1,1,0.15,-0.0625,0.539359689378656
2,1,1,0.2,-0.0625,0.43876942656141305
2,1,1,0.25,-0.0625,0.3554257659479011
2,1,1,0.3,-0.0625,0.2863180735732288
2,1,1,0.35,-0.0625,0.22902734122574409
2,1,1,0.4,-0.0625,0.181595466545449
2,1,2,0.1,-0.0625,0.2410140706048554
2,1,2,0.15,-0.0625,0.13493996548133172
2,1,2,0.2,-0.0625,0.0785654519937347
2,1,2,0.25,0.625,0.057920768682918275
2,1,2,0.3,0.5625000000000001,0.0572855693479877
2,1,2,0.35,0.5625000000000001,0.05838687010957641
2,1,2,0.4,0.5625000000000001,0.05983315506058198
2,1,3,0.1,-0.0625,0.06852082625262743
2,1,3,0.15,-0.4375,0.03623580781747641
2,1,3,0.2,-0.4375,0.03278785584266519
2,1,3,0.25,0.43749999999999994,0.03319662743442895
2,1,3,0.3,-0.4375,0.03491712296022356
2,1,3,0.35,0.43749999999999994,0.037026372205211426
2,1,3,0.4,-0.4375,0.03916740131324967
2,1,4,0.1,-0.375,0.02684087471604902
2,1,4,0.15,-0.3125,0.021145436774032023
2,1,4,0.2,-0.3125,0.022218627589924662
2,1,4,0.25,-0.3125,0.02378667693498278
2,1,4,0.3,-0.375,0.025993294196131278
2,1,4,0.35,-0.375,0.02811436211970829
2,1,4,0.4,-0.375,0.029978103219891715
4,1,1,0.1,-0.0625,0.6664398288426218
4,1,1,0.15,1.0,0.5964397234994164
4,1,1,0.2,1.0,0.6111843548458555
4,1,1,0.25,1.0,0.6249084208819748
4,1,1,0.3,1.0,0.6377120380344021
4,1,1,0.35,1.0,0.6496830073680068
4,1,1,0.4,1.0,0.6608985803970648
4,1,2,0.1,-0.5,0.2687730863638288
4,1,2,0.15,1.0,0.19782624942857852
4,1,2,0.2,1.0,0.2500941793841855
4,1,2,0.25,1.0,0.29438355587699605
4,1,2,0.3,1.0,0.3321056130423029
4,1,2,0.35,1.0,0.3645178796175449
4,1,2,0.4,1.0,0.39263686582427404
4,1,3,0.1,1.0,0.08884087168100116
4,1,3,0.15,0.75,0.08025655674535939
4,1,3,0.2,1.1250000000000002,0.1063418020475078
4,1,3,0.25,1.0,0.1477077438610434
4,1,3,0.3,1.0,0.18392271512044417
4,1,3,0.35,1.0,0.2155155681272971
4,1,3,0.4,1.0,0.2432849165089012
4,1,4,0.1,-0.5,0.06950794420402875
4,1,4,0.15,1.4375,0.06465218929293179
4,1,4,0.2,1.3749999999999998,0.0710665699367951
4,1,4,0.25,0.75,0.08397825003661594
4,1,4,0.3,1.1250000000000002,0.10402344906562039
4,1,4,0.35,1.0,0.12888722111838416
4,1,4,0.4,1.0,0.1517222967091802
4,2,1,0.1,-0.0625,0.6035723280950989
4,2,1,0.15,-0.0625,0.49753670400977396
4,2,1,0.2,-0.0625,0.41021796248463493
4,2,1,0.25,-0.0625,0.338265090280087
4,2,1,0.3,-0.0625,0.27906740017297227
4,2,1,0.35,-0.125,0.23162295554254753
4,2,1,0.4,-0.1875,0.20532740478859976
4,2,2,0.1,-0.0625,0.23228018585091864
4,2,2,0.15,0.625,0.13479987289820838
4,2,2,0.2,1.3125,0.09330033078304142
4,2,2,0.25,1.1875,0.07550792023500812
4,2,2,0.3,1.0,0.06974353001402281
4,2,2,0.35,1.0,0.0664460064557331
4,2,2,0.4,1.0,0.06428977406443379
4,2,3,0.1,1.0,0.0888408716810011
4,2,3,0.15,1.0,0.053335652790089
4,2,3,0.2,1.0,0.04323038614287998
4,2,3,0.25,1.0,0.04121152716857497
4,2,3,0.3,1.0,0.04194504557743954
4,2,3,0.35,1.0,0.04356207192818866
4,2,3,0.4,1.0,0.045366793694039335
4,2,4,0.1,1.25,0.025455719047210522
4,2,4,0.15,1.0,0.018877924733672738
4,2,4,0.2,1.0,0.02392671973036309
4,2,4,0.25,1.0,0.02803112217086016
4,2,4,0.3,1.0,0.031347442601608544
4,2,4,0.35,1.0,0.03408889106549317
4,2,4,0.4,1.0,0.036409911738069886
8,1,1,0.1,1.0,0.881054359257366
