finep,coarsep,k,c,θ,ρ
2,1,1,0.1,-0.0625,0.6658075380003818
2,1,1,0.1,0.0,0.6658075380003818
2,1,1,0.15,-0.0625,0.5433342618675968
2,1,1,0.15,0.0,0.5433342618675968
2,1,1,0.2,-0.0625,0.44200867156379803
2,1,1,0.2,0.0,0.44200867156379803
2,1,1,0.25,-0.0625,0.3580326531656678
2,1,1,0.25,0.0,0.3580326531656678
2,1,1,0.3,-0.0625,0.2883788939323695
2,1,1,0.3,0.0,0.2883788939323695
2,1,1,0.35,-0.0625,0.23061490206922025
2,1,1,0.35,0.0,0.23061490206922025
2,1,1,0.4,1.0,0.245939390253096
2,1,1,0.4,0.0,0.245939390253096
2,1,2,0.1,1.0,0.2526515362478323
2,1,2,0.1,0.8125000000000001,0.2526515362478323
2,1,2,0.15,-0.5,0.14269004338424027
2,1,2,0.15,0.0,0.14269004338424027
2,1,2,0.2,-0.5,0.11204768548606424
2,1,2,0.2,0.0,0.11204768548606424
2,1,2,0.25,1.4375,0.09784049800236959
2,1,2,0.25,0.0,0.09784049800236959
2,1,2,0.3,1.4375,0.09220715600333204
2,1,2,0.3,0.0,0.09220715600333204
2,1,2,0.35,1.4375,0.0909112935649738
2,1,2,0.35,0.0,0.0909112935649738
2,1,2,0.4,0.0,0.09183129703748548
2,1,2,0.4,1.4375,0.09183129703748548
2,1,3,0.1,-0.375,0.07669510755504769
2,1,3,0.1,0.0,0.07669510755504769
2,1,3,0.15,-0.375,0.054533702932707984
2,1,3,0.15,0.0,0.054533702932707984
2,1,3,0.2,0.0,0.049210045332148386
2,1,3,0.2,-0.375,0.049210045332148386
2,1,3,0.25,0.43749999999999994,0.04935193228392396
2,1,3,0.25,0.0,0.04935193228392396
2,1,3,0.3,0.43749999999999994,0.052546959236960296
2,1,3,0.3,0.0,0.052546959236960296
2,1,3,0.35,0.43749999999999994,0.05585968288463213
2,1,3,0.35,0.0,0.05585968288463213
2,1,3,0.4,-0.5,0.05917532809787118
2,1,3,0.4,0.0,0.05917532809787118
2,1,4,0.1,-0.25,0.03877430002803369
2,1,4,0.1,0.0,0.03877430002803369
2,1,4,0.15,0.0,0.03148784980086122
2,1,4,0.15,-0.3125,0.03148784980086122
2,1,4,0.2,0.0,0.03243006079786663
2,1,4,0.2,-0.375,0.03243006079786663
2,1,4,0.25,0.0,0.03611847403899218
2,1,4,0.25,-0.375,0.03611847403899218
2,1,4,0.3,0.0,0.0393860971939297
2,1,4,0.3,-0.375,0.0393860971939297
2,1,4,0.35,0.0,0.04218094822161315
2,1,4,0.35,-0.375,0.04218094822161315
2,1,4,0.4,0.43749999999999994,0.045372889437346464
2,1,4,0.4,0.0,0.045372889437346464
4,1,1,0.1,0.0,0.7678153393958211
4,1,1,0.1,1.0,0.7678153393958211
4,1,1,0.15,1.0,0.7772734524131877
4,1,1,0.15,0.0,0.7772734524131877
4,1,1,0.2,1.0,0.7859942506693972
4,1,1,0.2,0.0,0.7859942506693972
4,1,1,0.25,1.0,0.7940603527113124
4,1,1,0.25,0.0,0.7940603527113124
4,1,1,0.3,1.0,0.8015425332893005
4,1,1,0.3,0.0,0.8015425332893005
4,1,1,0.35,0.0,0.8085017620885673
4,1,1,0.35,1.0,0.8085017620885673
4,1,1,0.4,1.0,0.8149908375275028
4,1,1,0.4,0.0,0.8149908375275028
4,1,2,0.1,0.0,0.4238035242161386
4,1,2,0.1,1.0,0.4238035242161386
4,1,2,0.15,0.0,0.4810393136093519
4,1,2,0.15,1.0,0.4810393136093519
4,1,2,0.2,1.0,0.5254071613227491
4,1,2,0.2,0.0,0.5254071613227491
4,1,2,0.25,0.0,0.5607824461212689
4,1,2,0.25,1.0,0.5607824461212689
4,1,2,0.3,0.0,0.5896612497154683
4,1,2,0.3,1.0,0.5896612497154683
4,1,2,0.35,0.0,0.6137070138895279
4,1,2,0.35,1.0,0.6137070138895279
4,1,2,0.4,0.0,0.6340650964901903
4,1,2,0.4,1.0,0.6340650964901903
4,1,3,0.1,1.0,0.21870435514744047
