finep,coarsep,ω,θ,rho
2,1,1,-0.031415926535897976,1.6788988726713905
2,1,2,-0.031415926535897976,1.3173506356457216
2,1,3,-0.031415926535897976,0.43417242210213935
2,1,4,4.0212385965949355,0.021651177280333205
4,1,1,-0.031415926535897976,2.6404369077428855
4,1,2,-0.031415926535897976,1.7224658549327303
4,1,3,-0.031415926535897976,0.5254764150381024
4,1,4,2.6389378290154264,0.030154324555155473
4,2,1,-0.031415926535897976,2.332851728845535
4,2,2,-0.031415926535897976,1.551670382987507
4,2,3,-0.031415926535897976,0.4654237883066056
4,2,4,3.5814156250923634,0.02992068573938801
8,1,1,-0.031415926535897976,4.198985586512207
8,1,2,-0.031415926535897976,2.324263078507638
8,1,3,-0.031415926535897976,0.6557645678672697
8,1,4,0.5026548245743672,0.043936136056703885
8,2,1,-0.031415926535897976,4.158674496495394
8,2,2,-0.031415926535897976,2.3056115779231745
8,2,3,-0.031415926535897976,0.6501800918099685
8,2,4,-0.47123889803846897,0.04328128574870985
8,4,1,-0.031415926535897976,4.0474019554331075
8,4,2,-0.031415926535897976,2.2455251921223596
8,4,3,-0.031415926535897976,0.6307105272957414
8,4,4,-0.031415926535897976,0.04301461781276941
16,1,1,-0.031415926535897976,6.571876610540938
16,1,2,-0.031415926535897976,3.1747361466820068
16,1,3,-0.031415926535897976,0.8330295696186178
16,1,4,3.4243359924128747,0.06288998712487562
16,2,1,-0.031415926535897976,6.569093735987753
16,2,2,-0.031415926535897976,3.1736189620960427
16,2,3,-0.031415926535897976,0.8327667638235288
16,2,4,2.8588493147667116,0.06288891478523434
16,4,1,-0.031415926535897976,6.562209591358424
16,4,2,-0.031415926535897976,3.1706191576088356
16,4,3,-0.031415926535897976,0.8319372831440877
16,4,4,3.141592653589793,0.06286337953175294
16,8,1,-0.031415926535897976,6.536787879615804
16,8,2,-0.031415926535897976,3.157778479792144
16,8,3,-0.031415926535897976,0.8281581018193555
16,8,4,3.141592653589793,0.06286337953175353
