finep,coarsep,ω,θ,v,ρ
2,1,0.63,1.0,1,0.1368999999999999
2,1,0.69,-0.48,2,0.06014670705909545
2,1,0.72,0.4199999999999999,3,0.04118864184507004
4,1,0.77,1.0,1,0.5913610000000001
4,1,0.77,1.0,2,0.34970783232100044
4,1,0.77,1.0,3,0.2068035734291791
4,2,0.62,0.1800000000000001,1,0.20371503314178158
4,2,0.64,1.3,2,0.05867955062259811
4,2,0.7,1.0,3,0.04504950918399955
8,1,0.78,1.0,1,0.8742250000000004
8,1,0.78,1.0,2,0.764269350625
8,1,0.78,1.0,3,0.6681433730501403
8,2,0.73,-0.020000000000000028,1,0.6681802133143943
8,2,0.73,-0.020000000000000028,2,0.44648255454625274
8,2,0.73,-0.020000000000000028,3,0.2983579898344572
8,4,0.6,-0.020000000000000028,1,0.24998716225974998
8,4,0.6,0.44000000000000006,2,0.06806371646671444
8,4,0.63,1.0,3,0.032843565722498996
16,1,0.74,1.0,1,0.9676193987889273
16,1,0.74,1.0,2,0.9362873009126448
16,1,0.74,1.0,3,0.9059697552028033
16,2,0.73,-0.020000000000000028,1,0.905684731590059
16,2,0.73,-0.020000000000000028,2,0.8202654992604127
16,2,0.73,-0.020000000000000028,3,0.742903186077153
16,4,0.69,-0.020000000000000028,1,0.7187032318822898
16,4,0.69,-0.020000000000000028,2,0.5165386290641116
16,4,0.69,-0.020000000000000028,3,0.37124480613926253
16,8,0.57,-0.020000000000000028,1,0.29955283812646705
16,8,0.57,-0.020000000000000028,2,0.08975151943942519
16,8,0.58,1.0,3,0.03524805540392687
