finep,coarsep,ω,θ,v,rho
2,1,0.95,0.0,1,0.23006763932960403
2,1,0.95,1.0,1,0.23006763932960403
2,1,0.99,0.0,2,0.09127695138614873
2,1,0.99,0.56,2,0.09127695138614873
2,1,1.03,0.45999999999999996,3,0.06105924899138386
2,1,1.03,0.0,3,0.06105924899138386
4,1,0.95,1.0,1,0.7631673620760601
4,1,0.95,0.0,1,0.7631673620760601
4,1,0.95,0.0,2,0.5824244225381348
4,1,0.95,1.0,2,0.5824244225381348
4,1,0.95,0.0,3,0.44448731015710136
4,1,0.95,1.0,3,0.44448731015710136
4,2,0.82,-0.020000000000000028,1,0.3880563699703742
4,2,0.82,0.0,1,0.3880563699703742
4,2,0.82,-0.020000000000000028,2,0.15058774627457538
4,2,0.82,0.0,2,0.15058774627457538
4,2,0.83,1.0,3,0.07770972703688203
4,2,0.83,0.0,3,0.07770972703688203
8,1,0.87,1.0,1,0.952484831685325
8,1,0.87,0.0,1,0.952484831685325
8,1,0.87,0.0,2,0.9072273545906078
8,1,0.87,1.0,2,0.9072273545906078
8,1,0.87,1.0,3,0.8641202941375525
8,1,0.87,0.0,3,0.8641202941375525
8,2,0.84,-0.020000000000000028,1,0.8584504493376431
8,2,0.84,0.0,1,0.8584504493376431
8,2,0.84,-0.020000000000000028,2,0.7369371739679782
8,2,0.84,0.0,2,0.7369371739679782
8,2,0.84,-0.020000000000000028,3,0.632624048126403
8,2,0.84,0.0,3,0.632624048126403
8,4,0.79,0.0,1,0.6457278818852384
8,4,0.79,-0.020000000000000028,1,0.6457278818852384
8,4,0.79,0.0,2,0.41823261651812965
8,4,0.79,-0.020000000000000028,2,0.41823261651812965
8,4,0.79,0.0,3,0.27198044824813056
8,4,0.79,-0.020000000000000028,3,0.27198044824813056
