finep,coarsep,k,θ,ρ
2,1,1,0.0,0.3121973949984437
2,1,1,0.0,0.3121973949984437
2,1,1,1.0,0.3121973949984437
2,1,2,0.0,0.2649838289197529
2,1,2,0.0,0.2649838289197529
2,1,2,1.0,0.2649838289197529
2,1,3,1.0,0.04841802941055785
2,1,3,-0.25,0.04841802941055785
2,1,3,1.0,0.04841802941055785
2,1,4,-0.25,0.009768790617970957
2,1,4,1.0,0.009768790617970957
2,1,4,-0.25,0.009768790617970957
4,1,1,1.0,1.4359882222222693
4,1,1,1.0,1.4359882222222693
4,1,1,1.0,1.4359882222222693
4,1,2,1.0,1.5310191032350413
4,1,2,1.0,1.5310191032350413
4,1,2,1.0,1.5310191032350413
4,1,3,1.0,0.2767148265938092
4,1,3,1.0,0.2767148265938092
4,1,3,1.0,0.2767148265938092
4,1,4,0.0,0.030296136324543615
4,1,4,1.0,0.030296136324543615
4,1,4,0.0,0.030296136324543615
4,2,1,1.0,1.435988222222269
4,2,1,1.0,1.435988222222269
4,2,1,1.0,1.435988222222269
4,2,2,1.0,1.531019103235039
4,2,2,1.0,1.531019103235039
4,2,2,1.0,1.531019103235039
4,2,3,1.0,0.2767148265938093
4,2,3,1.0,0.2767148265938093
4,2,3,1.0,0.2767148265938093
4,2,4,0.0,0.016748270164711355
4,2,4,-0.5,0.016748270164711355
4,2,4,-0.5,0.016748270164711355
8,1,1,1.0,1.9885830848553738
8,1,1,1.0,1.9885830848553738
8,1,1,1.0,1.9885830848553738
8,1,2,1.0,2.339215449887774
8,1,2,1.0,2.339215449887774
8,1,2,1.0,2.339215449887774
8,1,3,1.0,0.38898102223994996
8,1,3,1.0,0.38898102223994996
8,1,3,1.0,0.38898102223994996
8,1,4,0.0,0.06870826860710741
8,1,4,1.0,0.06870826860710741
8,1,4,0.0,0.06870826860710741
8,2,1,1.0,1.9885830848553692
8,2,1,1.0,1.9885830848553692
8,2,1,1.0,1.9885830848553692
8,2,2,1.0,2.3392154498877837
8,2,2,1.0,2.3392154498877837
8,2,2,1.0,2.3392154498877837
8,2,3,1.0,0.38898102223995107
8,2,3,1.0,0.38898102223995107
8,2,3,1.0,0.38898102223995107
8,2,4,0.0,0.0456794059976334
8,2,4,0.0,0.0456794059976334
8,2,4,-0.25,0.0456794059976334
8,4,1,1.0,1.9885772705002003
8,4,1,1.0,1.9885772705002003
8,4,1,1.0,1.9885772705002003
8,4,2,1.0,2.339207978017452
8,4,2,1.0,2.339207978017452
8,4,2,1.0,2.339207978017452
8,4,3,1.0,0.3889799514615791
8,4,3,1.0,0.3889799514615791
8,4,3,1.0,0.3889799514615791
8,4,4,0.0,0.028003960578517617
8,4,4,0.0,0.028003960578517617
8,4,4,-0.25,0.028003960578517617
