finep,coarsep,ω,θ,v,rho
2,1,0.63,1.0,1,0.1368999999999999
2,1,0.69,-0.48,2,0.06014670705909545
2,1,0.72,0.4199999999999999,3,0.04118864184507004
4,1,0.77,1.0,1,0.5913610000000001
4,1,0.77,1.0,2,0.34970783232100044
4,1,0.77,1.0,3,0.2068035734291791
4,2,0.62,-0.17999999999999997,1,0.2037150331417812
4,2,0.64,0.6999999999999998,2,0.05867955062259779
4,2,0.7,1.0,3,0.04504950918399947
8,1,0.78,1.0,1,0.8742250000000007
8,1,0.78,1.0,2,0.7642693506249987
8,1,0.78,1.0,3,0.6681433730501404
8,2,0.73,-0.020000000000000028,1,0.6681802133140785
8,2,0.73,-0.020000000000000028,2,0.44648255454604013
8,2,0.73,-0.020000000000000028,3,0.29835798983431444
8,4,0.6,-0.020000000000000028,1,0.2499871622601278
8,4,0.6,-0.44,2,0.06806371646671355
8,4,0.63,1.0,3,0.03284356572249869
16,1,0.74,1.0,1,0.9676193987889252
16,1,0.74,1.0,2,0.9362873009126443
16,1,0.74,1.0,3,0.9059697552028018
16,2,0.73,-0.020000000000000028,1,0.9056847315898416
16,2,0.73,-0.020000000000000028,2,0.8202654992602126
16,2,0.73,-0.020000000000000028,3,0.7429031860769744
16,4,0.69,-0.020000000000000028,1,0.7187032318816056
16,4,0.69,-0.020000000000000028,2,0.5165386290636204
16,4,0.69,-0.020000000000000028,3,0.3712448061389112
16,8,0.57,-0.020000000000000028,1,0.29955283812774475
16,8,0.57,-0.020000000000000028,2,0.08975151943980735
16,8,0.58,1.0,3,0.03524805540392681
