finep,coarsep,k,θ,ρ
2,1,1,0.0,0.8147829160849615
2,1,1,1.0,0.8147829160849615
2,1,1,0.0,0.8147829160849615
2,1,2,0.0,0.5207053560721433
2,1,2,1.0,0.5207053560721433
2,1,2,0.0,0.5207053560721433
2,1,3,0.0,0.3213667792519433
2,1,3,1.0,0.3213667792519433
2,1,3,0.0,0.3213667792519433
2,1,4,0.0,0.20363365443453282
2,1,4,0.0,0.20363365443453282
2,1,4,1.0,0.20363365443453282
4,1,1,0.0,0.9685896873817126
4,1,1,1.0,0.9685896873817126
4,1,1,0.0,0.9685896873817126
4,1,2,1.0,0.907803035961043
4,1,2,0.0,0.907803035961043
4,1,2,0.0,0.907803035961043
4,1,3,1.0,0.8502441700062279
4,1,3,0.0,0.8502441700062279
4,1,3,0.0,0.8502441700062279
4,1,4,0.0,0.8000303151142293
4,1,4,1.0,0.8000303151142293
4,1,4,0.0,0.8000303151142293
4,2,1,-0.25,0.8776750038828358
4,2,1,0.0,0.8776750038828358
4,2,1,0.0,0.8776750038828358
4,2,2,0.0,0.6660724445027697
4,2,2,-0.25,0.6660724445027697
4,2,2,0.0,0.6660724445027697
4,2,3,-0.25,0.49941558288848664
4,2,3,0.0,0.49941558288848664
4,2,3,0.0,0.49941558288848664
4,2,4,-0.25,0.38153839277033286
4,2,4,0.0,0.38153839277033286
4,2,4,0.0,0.38153839277033286
8,1,1,1.0,0.9946188557018819
8,1,1,0.0,0.9946188557018819
8,1,1,0.0,0.9946188557018819
8,1,2,1.0,0.9838885665178712
8,1,2,0.0,0.9838885665178712
8,1,2,0.0,0.9838885665178712
8,1,3,0.0,0.9732374339808298
8,1,3,1.0,0.9732374339808298
8,1,3,0.0,0.9732374339808298
8,1,4,1.0,0.9634484453011146
8,1,4,0.0,0.9634484453011146
8,1,4,0.0,0.9634484453011146
8,2,1,-0.25,0.9806779205112413
8,2,1,0.0,0.9806779205112413
8,2,1,0.0,0.9806779205112413
8,2,2,-0.25,0.942757251767556
8,2,2,0.0,0.942757251767556
8,2,2,0.0,0.942757251767556
8,2,3,0.0,0.906045166588982
8,2,3,-0.25,0.906045166588982
8,2,3,0.0,0.906045166588982
8,2,4,0.0,0.8732211950793707
8,2,4,-0.25,0.8732211950793707
8,2,4,0.0,0.8732211950793707
8,4,1,-0.25,0.9393404025375598
8,4,1,0.0,0.9393404025375598
8,4,1,0.0,0.9393404025375598
8,4,2,0.0,0.8263525391369468
8,4,2,-0.25,0.8263525391369468
8,4,2,0.0,0.8263525391369468
8,4,3,-0.25,0.7253849062511637
8,4,3,0.0,0.7253849062511637
8,4,3,0.0,0.7253849062511637
8,4,4,-0.25,0.6427888396640146
8,4,4,0.0,0.6427888396640146
8,4,4,0.0,0.6427888396640146
