finep,coarsep,k,θ,ρ
2,1,1,0.0,0.3121973949984437
2,1,1,0.0,0.3121973949984437
2,1,1,1.0,0.3121973949984437
2,1,2,0.0,0.26409267213674825
2,1,2,0.0,0.26409267213674825
2,1,2,1.0,0.26409267213674825
2,1,3,1.0,0.04967655538621622
2,1,3,-0.4,0.04967655538621622
2,1,3,1.0,0.04967655538621622
2,1,4,-0.1,0.009823188403159135
2,1,4,0.020000000000000028,0.009823188403159135
2,1,4,0.03999999999999999,0.009823188403159135
3,1,1,-0.020000000000000028,0.9782067488885748
3,1,1,0.0,0.9782067488885748
3,1,1,0.0,0.9782067488885748
3,1,2,-0.020000000000000028,0.9502121308542542
3,1,2,0.0,0.9502121308542542
3,1,2,0.0,0.9502121308542542
3,1,3,-0.020000000000000028,0.19174900287001204
3,1,3,0.0,0.19174900287001204
3,1,3,0.0,0.19174900287001204
3,1,4,0.0,0.0120711232498875
3,1,4,0.0,0.0120711232498875
3,1,4,0.6,0.0120711232498875
3,2,1,0.0,0.37829769118566237
3,2,1,0.0,0.37829769118566237
3,2,1,1.0,0.37829769118566237
3,2,2,0.0,0.33944421064663505
3,2,2,0.0,0.33944421064663505
3,2,2,0.62,0.33944421064663505
3,2,3,0.0,0.028766770826601902
3,2,3,0.0,0.028766770826601902
3,2,3,1.0,0.028766770826601902
3,2,4,0.0,0.009308221538862934
3,2,4,-0.06000000000000001,0.009308221538862934
3,2,4,-0.32,0.009308221538862934
4,1,1,1.0,1.4359882222222669
4,1,1,1.0,1.4359882222222669
4,1,1,1.0,1.4359882222222669
4,1,2,1.0,1.6153419404832134
4,1,2,1.0,1.6153419404832134
4,1,2,1.0,1.6153419404832134
4,1,3,1.0,1.8247340987261498
4,1,3,1.0,1.8247340987261498
4,1,3,1.0,1.8247340987261498
4,1,4,1.0,1.6480425581365818
4,1,4,1.0,1.6480425581365818
4,1,4,1.0,1.6480425581365818
4,2,1,1.0,1.4359882222222664
4,2,1,1.0,1.4359882222222664
4,2,1,1.0,1.4359882222222664
4,2,2,1.0,1.6153419404832123
4,2,2,1.0,1.6153419404832123
4,2,2,1.0,1.6153419404832123
4,2,3,1.0,1.8247340987261504
4,2,3,1.0,1.8247340987261504
4,2,3,1.0,1.8247340987261504
4,2,4,1.0,1.6480425581365823
4,2,4,1.0,1.6480425581365823
4,2,4,1.0,1.6480425581365823
4,3,1,1.0,0.39567089141847644
4,3,1,1.0,0.39567089141847644
4,3,1,0.7600000000000001,0.39567089141847644
4,3,2,1.3399999999999999,0.35135439181186695
4,3,2,1.0,0.35135439181186695
4,3,2,1.0,0.35135439181186695
4,3,3,1.0,0.12213176804532111
4,3,3,1.3800000000000001,0.12213176804532111
4,3,3,1.0,0.12213176804532111
4,3,4,0.72,0.036878305884290315
4,3,4,1.28,0.036878305884290315
4,3,4,0.72,0.036878305884290315
